temperature,energy,magnetisation,susceptibility,specific_heat
1, -0.998549, 0.999258, 0.00152937, 0.00566841
1.0202, -0.998278, 0.999118, 0.0017803, 0.00645403
1.0404, -0.997998, 0.998975, 0.00203018, 0.00721643
1.06061, -0.997693, 0.998816, 0.00233023, 0.00804637
1.08081, -0.997349, 0.998637, 0.00268268, 0.00904092
1.10101, -0.996938, 0.998426, 0.00312579, 0.0102947
1.12121, -0.996516, 0.998195, 0.00372066, 0.0116172
1.14141, -0.996062, 0.997954, 0.00422913, 0.0128109
1.16162, -0.995508, 0.997665, 0.00453249, 0.0133606
1.18182, -0.994886, 0.997337, 0.00513668, 0.0148211
1.20202, -0.994201, 0.996962, 0.00596511, 0.0164738
1.22222, -0.993448, 0.996557, 0.00674682, 0.0181621
1.24242, -0.992619, 0.996121, 0.00770022, 0.0205892
1.26263, -0.991764, 0.995665, 0.008539, 0.0222775
1.28283, -0.99092, 0.995205, 0.00918576, 0.023317
1.30303, -0.989962, 0.994679, 0.0102815, 0.0255263
1.32323, -0.988971, 0.994134, 0.0110977, 0.0265612
1.34343, -0.987874, 0.993538, 0.0122879, 0.0289023
1.36364, -0.986688, 0.992867, 0.0135043, 0.0306457
1.38384, -0.985396, 0.992152, 0.0147668, 0.0326331
1.40404, -0.984006, 0.991373, 0.0160932, 0.0344495
1.42424, -0.982563, 0.990521, 0.0183572, 0.0380902
1.44444, -0.98095, 0.989646, 0.0196024, 0.0397617
1.46465, -0.979225, 0.988635, 0.0219882, 0.0423232
1.48485, -0.977437, 0.987585, 0.0227454, 0.0430315
1.50505, -0.975337, 0.986368, 0.0258174, 0.0461179
1.52525, -0.973396, 0.985262, 0.0280466, 0.0507312
1.54545, -0.970596, 0.983492, 0.0327701, 0.0528699
1.56566, -0.968386, 0.98217, 0.036419, 0.0576234
1.58586, -0.966059, 0.980763, 0.0378524, 0.0581746
1.60606, -0.963449, 0.979175, 0.0442245, 0.0640868
1.62626, -0.960773, 0.977566, 0.0455811, 0.065406
1.64646, -0.957778, 0.975682, 0.0512594, 0.0712841
1.66667, -0.954721, 0.973822, 0.0546593, 0.0751528
1.68687, -0.951668, 0.971757, 0.0644495, 0.0801827
1.70707, -0.947777, 0.969227, 0.0700258, 0.084245
1.72727, -0.944393, 0.967029, 0.0765797, 0.09105
1.74747, -0.940441, 0.964313, 0.0856486, 0.0951545
1.76768, -0.936298, 0.961505, 0.0900654, 0.0951913
1.78788, -0.932049, 0.958567, 0.106149, 0.10671
1.80808, -0.927447, 0.955272, 0.117721, 0.1118
1.82828, -0.923021, 0.952054, 0.126176, 0.113783
1.84848, -0.917982, 0.948087, 0.154839, 0.121128
1.86869, -0.912964, 0.944348, 0.164582, 0.125614
1.88889, -0.90778, 0.940442, 0.191943, 0.135701
1.90909, -0.901813, 0.935733, 0.203117, 0.139966
1.92929, -0.896163, 0.931098, 0.265849, 0.158276
1.94949, -0.889797, 0.926232, 0.26165, 0.148579
1.9697, -0.881913, 0.918737, 0.361173, 0.176783
